	x	y	z	label
0	326.4882848609043	188.98880779378234	-312.2053065117777	0.0
1	-314.2872141927264	307.2767231405596	-179.03741227591098	1.0
2	-328.20891006049504	181.62775750565163	446.311061603905	1.0
3	-148.6588902441943	147.02794720437197	-27.47795857102664	1.0
4	-467.0659308907981	250.46765084317445	-306.47533015049976	1.0
5	-23.86398511035437	-44.08456548283579	-276.7962801664384	1.0
6	3.6608122852410663	-252.59997324957683	-445.0440711652396	1.0
7	405.4064795180866	124.7345954630984	482.317678342927	1.0
8	-467.8772062786649	-49.02204676373445	-340.0560942928302	0.0
9	343.4577373670895	142.91042830268552	10.563133158232429	0.0
10	399.43731501884736	-325.8504593961522	-345.82596145664246	0.0
11	-144.8633602485737	-248.4434991198159	406.22439824146215	1.0
12	-28.814105192274898	357.6044443550195	56.13875383947953	0.0
13	412.13082553034394	306.1354457105651	-57.046662353924084	0.0
14	-355.56779087788817	-97.53179076263696	173.3001685790303	0.0
15	379.42882674671074	469.66998308898235	477.90831797351484	1.0
16	-292.44791234899157	437.6028901311626	-82.00127574712945	1.0
17	238.31395495014507	137.57181967237088	-253.88563742945647	0.0
18	-226.24852840430265	31.636070536763093	47.60686594346897	0.0
19	67.3548149627854	0.024913653128066926	434.02070630988663	1.0
20	401.97737494763794	-130.50392404654542	490.45044646777217	0.0
21	361.17466321023494	-219.08503625929364	219.98237807664577	0.0
22	-292.05143636728883	-417.22404255844657	131.92581737738828	1.0
23	-405.53165750578626	-15.917876707049249	480.25006570084815	1.0
24	-285.5809714973095	-450.1033734047698	-342.41471769229213	0.0
25	369.9987963756085	-103.00325776501573	-107.39414407420011	0.0
26	-353.8522481695444	474.8366123379958	360.41673621048733	0.0
27	-374.6579497101042	212.14954180085454	-244.77971569367085	1.0
28	419.1376479843829	486.73619280641145	-60.74741980729803	0.0
29	72.37878276864306	-128.3534688334236	348.2494451173892	0.0
30	-68.06146302707094	299.3562637678848	457.50484167737335	0.0
31	481.73724412349316	275.75667264379234	-18.910798651017302	0.0
32	-109.8039943970538	78.49936950908942	388.899966849119	1.0
33	-405.23546842503487	-239.89306944899212	340.2014173813165	1.0
34	-371.29676152991453	-77.01138126196328	-461.7599631263498	0.0
35	-353.66160503371304	-137.41138879170057	303.2840439393031	0.0
36	100.81658378946045	-118.24922894137357	34.074362544393445	1.0
37	-13.258720236485777	-438.40440380897917	-429.6625368895136	0.0
38	-4.732453488195842	341.3183965138065	475.1778094454461	0.0
39	-498.69172672107044	179.97750631305522	-359.87414953732133	1.0
40	326.58876478300425	157.32330101746683	-7.229616782507997	0.0
41	92.8472364035795	-125.02938180756085	233.34989998701838	0.0
42	13.924828192190875	208.04547759525437	-176.2046386745203	0.0
43	-33.381785700085985	-486.14561622612985	299.55164453770897	1.0
44	-241.25658266555706	-430.17610332827104	217.6296647193804	1.0
45	150.07111078141367	217.38495653045987	-335.9808708107975	0.0
